rpid,parent_rpid,username,content,like_count,timestamp,ip_location
296859534864,0,__rydx25__,我一般梦到有鬼压床，都是莫名其妙的去砍去砍那鬼，就感觉奇奇怪怪的。整的我现在既怕又不怕,0,1774617394,IP属地：广西
294336056209,0,stars欣妍,有一次梦到我在一个像古代的场景，有一个古代的男子在叫我的名字，然后梦里的我看不大清他的样子，但他一直再叫我。到了后面我就在跟拍古装剧样，但那个男子就再也没出现过了,0,1774617282,IP属地：江苏
294335911073,0,不二川苦茶子,我发现成年以后我做梦都神勇，无数的恐怖场景我都不带情绪波动的。比如梦到柜子里排整齐的人头，关上柜门继续睡觉。梦到自己房间被改造成了上下铺，床上放满透明塑料裹尸袋，里面实体已经腐烂流液体发臭。梦到门前的树上挂着一颗颗人头。梦到自己被刀捅穿却没有死掉。反正做梦不带怕的[微笑],0,1774617207,IP属地：日本
296858698816,0,小龙龙55,我在梦里肘击过我高中英语老师[笑哭],0,1774617009,IP属地：河南
296858826112,0,哈喽kit一,我初三有一次和我妹睡觉时，大半夜睁眼看到我们中间有个👻，之后那个学期每天午睡都会被“鬼压床”，睁眼的时候经常能看到有人摸我脸，有一次我试图去看她长啥样，但眼睛移到一半就不敢看了[笑哭]不过呢，就算当时我也从没觉得跟👻有啥关联，就是大脑出了点问题吧，高中后就好了。,0,1774616992,IP属地：云南
294335559441,0,咬口面包,巧了这周我老公说他梦见我我躺在桌子上嗷嗷哭，梦见Tim在边上开无人机测试。这是他盗墓家族梦的一部分，神奇的是他说他梦到Tim的时候我脑里也浮现了飞机，我们俩脑内好像都把Tim和某种飞行器测试联系在了一起,1,1774616951,IP属地：上海
294335431649,0,shutiao303,我做过一个梦，由于mc玩多了我在梦里的设定是跳两下飞行[笑哭],0,1774616925,IP属地：湖南
296858440288,0,半只juju蟹,梦到了莎莎给我签名[星星眼],0,1774616834,IP属地：四川
294335329393,0,智商溜号了,做过上课被老师一巴掌拍飞的梦,0,1774616821,IP属地：江苏
294335170257,0,神秘的小说侦探,纳…纳尼,0,1774616747,IP属地：江苏
